query,topic,satisfaction
"I want to know my bill amount","Billing",4
"My payment was not processed","Billing",3
"How do I return a product?","Returns",5
"I need a refund for my last order","Returns",4
"I'm facing an issue with the app","Technical Support",2
"The product feature is not working","Technical Support",3
"Tell me more about your product","Product Info",5
"Do you have information on product specs?","Product Info",4
"Can you help me with payment errors?","Technical Support",2
"I want to exchange my product","Returns",4
"Where can I see my invoice?","Billing",5
"My order was damaged, how to return?","Returns",3
"Is there a discount on new products?","Product Info",4
"App crashes when I open it","Technical Support",1
"How do I update my billing info?","Billing",4
